Domain               | Score  | Keywords
--------------------------------------------------
vitago.com           | 155    | go
hairdi.com           | 155    | ai
webhost.com          | 150    | host, web
cattoprone.com       | 145    | pro, top
aakjo.com            | 145    | -
promix.com           | 145    | pro
idam.com             | 145    | -
donak.com            | 145    | -
hiver.com            | 145    | -
yangames.com         | 140    | game
goyours.com          | 140    | go
tentain.com          | 140    | ai
actadata.com         | 140    | data
siaspay.com          | 140    | pay
honogame.com         | 140    | game
jatecnow.com         | 140    | now
payemcom.com         | 140    | pay
quinhost.com         | 140    | host
dailyur.com          | 140    | ai
kadaapp.com          | 140    | app
easystem.com         | 140    | sys
scainco.com          | 140    | ai
topleper.com         | 140    | top
gofodia.com          | 140    | go
hallaber.com         | 140    | lab
jamaino.com          | 140    | ai
getopol.com          | 140    | top
exasaweb.com         | 140    | web
paipune.com          | 140    | ai
bidailynews.com      | 135    | ai, news
airbyanhost.com      | 135    | ai, host
ozadow.com           | 130    | -
thewahost.com        | 130    | host
asiang.com           | 130    | -
bizoup.com           | 130    | -
samg.com             | 130    | -
caskas.com           | 130    | -
galamanet.com        | 130    | net
dixmak.com           | 130    | -
boydoz.com           | 130    | -
molufango.com        | 130    | go
shexin.com           | 130    | -
uniger.com           | 130    | -
appinalia.com        | 130    | app
arternews.com        | 130    | news
sonigs.com           | 130    | -
navedepay.com        | 130    | pay
zgist.com            | 130    | -
logcil.com           | 130    | -
tahlan.com           | 130    | -
thebok.com           | 130    | -
baosku.com           | 130    | -
gonaginga.com        | 130    | go
lanoragos.com        | 130    | go
payalpark.com        | 130    | pay
dentaicro.com        | 130    | ai
poophybet.com        | 130    | bet
appysring.com        | 130    | app
enytoplay.com        | 130    | top
prograpus.com        | 130    | pro
airmoming.com        | 130    | ai
appsages.com         | 125    | app
goldentopime.com     | 125    | go, top
kasibaia.com         | 125    | ai
emggame.com          | 125    | game
airsbank.com         | 125    | ai
chernews.com         | 125    | news
essianmail.com       | 120    | ai
planetrobs.com       | 120    | net
goldoncerp.com       | 120    | go
anvidoshop.com       | 120    | shop
netroptics.com       | 120    | net
shoprimess.com       | 120    | shop
saiginaman.com       | 120    | ai
nowarening.com       | 120    | now
shopcinfil.com       | 120    | shop
meundainfo.com       | 120    | ai
enaplytech.com       | 120    | tech
appariasoo.com       | 120    | app
lakarychub.com       | 120    | hub
hailatimes.com       | 120    | ai
nivecarego.com       | 120    | go
hostersing.com       | 120    | host
linofree.com         | 115    | -
siander.com          | 115    | -
gquilder.com         | 115    | -
yavolin.com          | 115    | -
hlrac.com            | 115    | -
mycamles.com         | 115    | -
pinesis.com          | 115    | -
tokooka.com          | 115    | -
herazer.com          | 115    | -
dadzogal.com         | 115    | -
afrunnyc.com         | 115    | -
penforma.com         | 115    | -
atotoom.com          | 115    | -
apinjun.com          | 115    | -
gertone.com          | 115    | -
bbwime.com           | 115    | -
liverois.com         | 115    | -
laddion.com          | 115    | -
birdarad.com         | 115    | -
